date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX,portfolio total
2014-11-04,0.0,0.0,0.0,0.0,176.78653303236,0.0,0.020177900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2679618253199996,18.55570200134,0.0,4.29876047436,0.0,202.92913523337998
2014-11-05,0.0,0.0,0.0,0.0,173.11429997798,0.0,0.019964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2945923107599997,18.99755504528,0.0,4.36297402144,0.0,199.78938535546
2014-11-06,0.0,0.0,0.0,0.0,173.1843735573,0.0,0.0196788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3488047433699997,18.94453541806,0.0,4.36868217468,0.0,199.86607469341
2014-11-07,0.0,0.0,0.0,0.0,175.06425644269999,0.0,0.0198214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34595202906,18.73465641782,0.0,4.38580640052,0.0,201.5504926901
2014-11-10,0.0,0.0,0.0,0.0,178.1293114427,0.0,0.0196788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3012497232599998,18.74570133296,0.0,4.4186262352,0.0,204.61456753412003
2014-11-11,0.0,0.0,0.0,0.0,182.15768403820002,0.0,0.0194649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3126637133999997,18.68825820918,0.0,4.37867103356,0.0,208.55674189434004
2014-11-12,0.0,0.0,0.0,0.0,181.86577403820002,0.0,0.0193223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34785307278,18.63523676868,0.0,4.32087850596,0.0,208.18906468562
2014-11-13,0.0,0.0,0.0,0.0,184.76736002202,0.0,0.0189658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37543533324,18.60209681008,0.0,4.2973335724799995,0.0,211.06119153781998
2014-11-14,0.0,0.0,0.0,0.0,191.38787648674,0.0,0.0186093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37543533324,18.56895526486,0.0,4.30090141188,0.0,217.65177779672
2014-11-17,0.0,0.0,0.0,0.0,188.60304399416,0.0,0.0190371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3564136176,18.38116768152,0.0,4.30803615516,0.0,214.66769854844
